CycID,BH.Q,PER,F_ZT0,F_ZT0.1,F_ZT0.2,F_ZT4,F_ZT4.1,F_ZT4.2,F_ZT8,F_ZT8.1,F_ZT8.2,F_ZT12,F_ZT12.1,F_ZT12.2,F_ZT16,F_ZT16.1,F_ZT16.2,F_ZT20,F_ZT20.1,F_ZT20.2,gene_product,transcript_product,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003839-RA,0.039930755,20,446,425,509,327,348,333,209,412,360,854,591,6481,483,632,727,303,365,397,Fem-1 homolog c ,Fem-1 homolog c ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001747-RA,0.001855286,24,582,671,686,440,522,548,391,764,579,983,573,426,975,1443,1537,852,1063,875,Ubiquitin domain-containing protein ,Ubiquitin domain-containing protein ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006605-RA,0.007036104,20,470,513,350,221,339,420,340,672,504,625,655,452,592,774,899,412,578,533,unspecified product ,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012364-RA,0.00946299,20,574,367,617,465,553,805,461,664,681,387,494,8,433,414,438,534,525,565,unspecified product ,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006473-RA,0.039930755,24,359,409,348,200,359,323,290,624,498,450,325,341,587,740,754,515,743,732,caspar ,caspar ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012008-RA,7.43E-05,24,212,96,184,246,210,232,326,680,612,894,824,52,332,435,487,194,145,251,unspecified product ,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP010808-RA,0.001269188,24,74,119,103,68,105,101,258,423,332,497,385,2115,149,149,199,85,111,120,unspecified product ,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004418-RA,0.00946299,20,290,186,323,317,369,399,187,263,287,186,157,2,248,245,251,233,265,275,unspecified product ,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009521-RB,0.022880709,20,44.9995,29.4132,66.2495,50.21,142.338,117.075,102.269,131.258,135.601,44.2863,43.8805,255.158,13.569,26.9459,72.7399,54.1628,35.6079,55.9443,unspecified product ,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005429-RA,0.00946299,24,69.6999,59.4081,98.1648,51.9826,73.3717,92.2254,40.459,53.7917,57.9058,60.7841,67.4131,2.00169,67.5439,92.9345,105.88,125.083,125.278,116.31,THO complex subunit 6 ,THO complex subunit 6 ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP028519-RA,0.002571701,24,56,46,47,39,41,35,29,35,22,30,21,11,42,50,64,67,67,75,unspecified product ,unspecified product ,GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006721-RB,1.10E-06,24,3843,3506.18,4356.15,1130.37,965.654,1436.18,406.015,791.3,566.49,433.843,282,1499.54,871.873,1091.84,1054.86,1796.98,1653.61,1677.99,unspecified product ,unspecified product ,GO:0005515, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP010676-RA,0.012864973,24,222.04,185.456,263.892,166.832,171.552,217.712,81.6788,137.506,144.191,70.4941,37.0958,66.8353,129.744,102.869,204.473,115.002,88.3317,138.029,unspecified product ,unspecified product ,GO:0005515, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007674-RB,0.001269188,24,500.804,454.677,550,571.54,434.285,738.061,675.043,1051.44,793.83,558,499.373,336.536,319.352,379.814,401.974,330.221,388.005,345.517,"GIPC PDZ domain containing family, member 2 ","GIPC PDZ domain containing family, member 2 ",GO:0005515, GO:0005515, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009285-RB,0.01700415,24,272.874,261.483,314.166,213.159,256.799,269.736,281.288,476.755,396.611,405.964,290.662,7.34974,383.578,489.551,613.235,302.194,322.47,256.157,unspecified product ,unspecified product ,GO:0005515, GO:0005515, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008611-RA,0.039930755,24,1094,1188,992,985.231,1018,1151,1079,1712,1411.93,1250,1180,1557.04,1030.03,1064.04,1189.02,884,1186,873,unspecified product ,unspecified product ,GO:0005515, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003546-RB,0.00946299,24,183.929,253.272,188.043,109.903,358.068,232.432,379.981,367.454,296.244,236.099,236.249,191.462,168.803,168.343,206.113,105.634,111.794,75.8957,unspecified product ,unspecified product ,GO:0005515, GO:0042981, GO:0005515, GO:0042981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004410-RA,0.002571701,24,1662,1558,1932,2745,2559,3537,2533,3551,3321,1504,1109,135,1510,1283,1452,1543,973,1248,unspecified product ,unspecified product ,GO:0005516, GO:0007339, GO:0016020, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011099-RA,4.24E-05,24,166,156,133,170,257,300,1276,1827,1640,8919,6893,4552,5410,6561,7526,1263,1768,1602,myosin III ,myosin III ,GO:0005524, GO:0003779, GO:0005737, GO:0003774, GO:0016459, GO:0004672, GO:0050896, GO:0007601, GO:0006468, GO:0000166, GO:0003774, GO:0003774, GO:0003779, GO:0004672, GO:0005524, GO:0005524, GO:0006468, GO:0016459, GO:0016459, GO:0005515,,,,,,,,,,,,,,,,,
AGAP029446-RA,0.030003949,24,1838.7,2182.8,1935.8,1277.06,1737.83,1936.02,1128.95,1817.41,1772.77,1051.17,1102.73,14427.6,1140.48,1581.45,1792.48,1001.89,1775.86,1280.52,unspecified product ,unspecified product ,GO:0005524, GO:0005085, GO:0005737, GO:0035556, GO:0007417, GO:0007411, GO:0005515, GO:0005085, GO:0005085, GO:0007411, GO:0007417, GO:0035556, GO:0035556, GO:0016043, GO:0005085, GO:0005515, GO:0005085, GO:0005085, GO:0035556, GO:0005085, GO:0016043, GO:0035556, GO:0005085, GO:0005085, GO:0035556, GO:0016043, GO:0005085, GO:0035556, GO:0005085, GO:0005085, GO:0035556,,,,,,
AGAP009730-RA,0.003701424,20,7558,7468,7677,3795,3237,5437,2093,3466,2899,1568,1615,2181,4974,7181,6808,4274,6425,5140,myosin III ,myosin III ,GO:0005524, GO:0005737, GO:0004713, GO:0016459, GO:0050896, GO:0003774, GO:0003779, GO:0007601, GO:0006468, GO:0004672, GO:0000166, GO:0003774, GO:0003774, GO:0003779, GO:0005524, GO:0005524, GO:0046872, GO:0007165, GO:0035556, GO:0016459, GO:0016459, GO:0004672, GO:0004713, GO:0006468, GO:0018108, GO:0005515,,,,,,,,,,,
AGAP005160-RD,0.01700415,8,25.6506,10.8069,14.836,65.7925,62.2512,90.7822,30.9248,69.8576,34.4007,79.8766,34.8887,34.9033,58.3997,63.9038,35.7996,52.6376,56.0431,40.966,"Ras homolog gene family, member A ","Ras homolog gene family, member A ",GO:0005525, GO:0003924, GO:0003924, GO:0005525, GO:0019901, GO:0007015, GO:0007163, GO:0007266, GO:0008360, GO:0016477, GO:0030334, GO:0030950, GO:0032956, GO:0051017, GO:0005737, GO:0005938, GO:0031410, GO:0032153, GO:0043231, GO:0007015, GO:0030865, GO:0005938, GO:0042995, GO:0007163, GO:0019901, GO:0005886, GO:0031410, GO:0016477, GO:0008360, GO:0032956, GO:0005856, GO:0005525, GO:0003924, GO:0003924, GO:0005525, GO:0019901, 
AGAP002185-RA,0.00946299,24,638,482,848,459,413,720,337,457,470,392,321,156,474,472,544,535,612,612,developmentally-regulated GTP-binding protein 2 ,developmentally-regulated GTP-binding protein 2 ,GO:0005525, GO:0005737, GO:0002181, GO:0005525, GO:0002181, GO:0005737, GO:0005525, GO:0003924, GO:0005525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005293-RA,0.00946299,24,541.396,351.796,676.444,650.306,563.576,700.465,659.262,956.63,1060.76,921.219,905.345,101.61,643.592,871.353,1051.36,486.007,734.891,810.593,Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q7PFA8] ,Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q7PFA8] ,GO:0005525, GO:0005737, GO:0005874, GO:0000226, GO:0000278, GO:0005200, GO:0003924, GO:0005525, GO:0005200, GO:0005874, GO:0007017, GO:0007017, GO:0005525, GO:0005874, GO:0005200, GO:0003924, GO:0003924, GO:0005525, GO:0005874, GO:0005200, GO:0007017,,,,,,,,,,,,,,,,
AGAP011254-RA,4.24E-05,24,241,234,206,267,265,366,1125,1694,1348,1183,953,1020,261,335,360,226,235,202,ADP-ribosylation factor-like protein 5 ,ADP-ribosylation factor-like protein 5 ,GO:0005525, GO:0006886, GO:0016192, GO:1903292, GO:0005737, GO:0005802, GO:0003924, GO:0051649, GO:0016192, GO:0005525, GO:0000166, GO:0005525, GO:0005525,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001802-RB,0.01700415,24,1240.19,1201.55,1298.89,767.876,845.469,1047.77,720.37,1505.84,974.754,1226.86,799.863,5073.87,1396.05,1641.27,1936,1296.34,1197.98,1250.51,unspecified product ,unspecified product ,GO:0005525, GO:0016021, GO:0005741, GO:0008053, GO:0003924, GO:0005525, GO:0016021, GO:0005741, GO:0008053, GO:0003924,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000280-RB,0.005153499,24,1698.45,1422.29,1574.42,912.43,1010.76,1459.28,960.277,1273.2,1182.98,916.357,730.017,290.255,1078.7,1329.75,1487.12,1447.57,1434.42,1522.37,guanylate cyclase soluble subunit alpha ,guanylate cyclase soluble subunit alpha ,GO:0005525, GO:0035556, GO:0005737, GO:0004383, GO:0020037, GO:0016849, GO:0006182, GO:0009190, GO:0000166, GO:0004383, GO:0016829, GO:0016849, GO:0020037, GO:0006182, GO:0009190, GO:0035556, GO:0020037, GO:0005737, GO:0004383, GO:0035556, GO:0005525, GO:0016849, GO:0006182, GO:0009190, GO:0000166, GO:0004383, GO:0016829, GO:0016849, GO:0020037, GO:0006182, GO:0009190, GO:0035556,,,,,
AGAP004496-RA,0.030003949,20,11,11,29,16,15,27,10,19,12,3,9,0,2,2,4,14,29,17,ADP-ribosylation factor-like 3 ,ADP-ribosylation factor-like 3 ,GO:0005525, GO:0060271, GO:0005737, GO:0015630, GO:0031116, GO:0003924, GO:0051649, GO:0016192, GO:0005525, GO:0000166, GO:0005525, GO:0005525,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005076-RC,0.001855286,20,170.933,69.4292,298.18,400.913,260.375,179.231,483.854,765.029,605.878,626.286,402.252,88.959,269.132,359.261,372.682,216.306,198.87,181.486,bridging integrator ,bridging integrator ,GO:0005543, GO:0005886, GO:0005886, GO:0005543, GO:0005737, GO:0005515, GO:0005737, GO:0006897, GO:0043229, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897,,,,,,,,,,,,,
AGAP005076-RB,0.030003949,20,199.088,202.671,107.325,253.953,347.041,342.864,504.748,458.039,516.983,60.1691,172.275,106.192,168.901,152.669,210.817,256.928,166.932,166.996,bridging integrator ,bridging integrator ,GO:0005543, GO:0005886, GO:0005886, GO:0005543, GO:0005737, GO:0005515, GO:0005737, GO:0006897, GO:0043229, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897,,,,,,,,,,,,,
AGAP005076-RA,0.001269188,24,159.159,138.9,140.496,168.806,145.584,297.905,234.399,411.328,386.8,190.708,178.472,311.849,105.239,108.177,195.963,116.944,130.198,100.743,bridging integrator ,bridging integrator ,GO:0005543, GO:0005886, GO:0005886, GO:0005543, GO:0005737, GO:0005515, GO:0005737, GO:0006897, GO:0043229, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897, GO:0005737, GO:0005515, GO:0005737, GO:0043229, GO:0006897,,,,,,,,,,,,,
AGAP003725-RB,0.007036104,16,553.219,531.963,674.174,370.539,440.399,529.935,255.008,691.818,662.934,800.255,573.997,12103.7,545.225,644.426,740.268,377.868,490,341.663,Extended synaptotagmin-like protein 2a ,Extended synaptotagmin-like protein 2a ,GO:0005544, GO:0031234, GO:0031227, GO:0031210, GO:0035091, GO:0005509, GO:0008429, GO:0005509, GO:0005544, GO:0008429, GO:0031210, GO:0035091, GO:0031227, GO:0031234, GO:0005544, GO:0031234, GO:0031227, GO:0031210, GO:0035091, GO:0005509, GO:0008429, GO:0005509, GO:0005544, GO:0008429, GO:0031210, GO:0035091, GO:0031227, GO:0031234, GO:0061817, GO:0006869, GO:0016021, GO:0008289, GO:0008289, GO:0008289, GO:0006869, GO:0006869, 
AGAP010145-RA,0.01700415,24,102,69,151,129,89,106,99,185,130,301,186,255,192,201,171,117,128,192,Yellow [Source:UniProtKB/TrEMBL;Acc:A0A1S4H3W2] ,Yellow [Source:UniProtKB/TrEMBL;Acc:A0A1S4H3W2] ,GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003686-RA,0.003701424,24,124,59,107,205,174,276,202,312,348,749,486,223,318,250,289,291,186,207,unspecified product ,unspecified product ,GO:0005576, GO:0004252, GO:0006508, GO:0004252, GO:0006508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007549-RA,0.022880709,20,21,22,10,44,40,74,13,46,33,5,5,0,0,23,17,7,22,17,unspecified product ,unspecified product ,GO:0005576, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009275-RA,0.002571701,24,1121,839,1165,470,408,664,254,426,393,254,308,3,216,247,265,299,327,288,sulfakinin neuropeptide ,sulfakinin neuropeptide ,GO:0005576, GO:0007218, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000436-RA,0.00946299,24,533,491,555,296,271,396,244,406,378,482,256,2388,584,702,671,634,472,651,chitinase ,chitinase ,GO:0005576, GO:0008061, GO:0006032, GO:0004568, GO:0004568, GO:0008061, GO:0006032, GO:0005576, GO:0005737, GO:0008061, GO:0016021, GO:0005975, GO:0004553, GO:0004553, GO:0008061, GO:0016787, GO:0016798, GO:0005975, GO:0008152, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,
AGAP000986-RA,0.001269188,24,287,209,333,267,384,332,226,433,492,291,273,770,223,343,336,215,275,217,cuticular protein ,cuticular protein ,GO:0005576, GO:0008061, GO:0008061, GO:0006030, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009790-RA,0.007036104,24,92,62,95,241,307,389,181,389,310,170,190,3,69,96,56,66,43,81,cuticular protein ,cuticular protein ,GO:0005576, GO:0008061, GO:0008061, GO:0006030, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000988-RA,0.007036104,24,14,8,23.1381,37.1641,54.3958,79.0327,5,15.2178,1.01236,4,5,0,0,2,11.0752,4.03653,11,7,cuticular protein ,cuticular protein ,GO:0005576, GO:0008061, GO:0008061, GO:0006030, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002909-RB,8.73E-04,24,73.3948,52.3935,62.0799,40.4571,30.2471,36.8918,29.5223,28.6067,46.5987,82.2062,53.8309,132.146,103.897,161.596,105.362,110.085,99.2904,145.254,Control protein HCTL029 ,Control protein HCTL029 ,GO:0005576, GO:0008061, GO:0008061, GO:0006030, GO:0005576, GO:0005576, GO:0008061, GO:0008061, GO:0006030, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003308-RB,4.11E-04,20,99.3581,74.7843,105.347,26.5888,39.349,77.4577,5.27034,4.41707,8.92774,33.6048,1.62136,0,70.7172,68.8251,62.8002,144.601,88.7074,72.6711,cuticular protein ,cuticular protein ,GO:0005576, GO:0008061, GO:0008061, GO:0006030, GO:0005576, GO:0008061, GO:0005576, GO:0008061, GO:0006030, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003308-RA,8.73E-04,24,46.6419,49.2157,91.653,26.4112,20.651,32.5423,4.72966,3.58293,6.07226,28.3952,29.3786,1,87.2828,121.175,65.1998,145.399,119.293,39.3289,cuticular protein ,cuticular protein ,GO:0005576, GO:0008061, GO:0008061, GO:0006030, GO:0005576, GO:0008061, GO:0005576, GO:0008061, GO:0006030, GO:0005576,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007792-RA,0.012864973,20,1596.28,1679.72,1534.15,785.122,772.247,1067,740.136,1035.47,1019,677.238,805.326,2245.18,1379.41,1534.56,1622.49,1354.62,1891.53,1243.15,unspecified product ,unspecified product ,GO:0005576, GO:0030198, GO:0004222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP028157-RA,0.00946299,24,6247.95,4021.43,6465.45,4039.63,3552.46,5874.96,4639.17,6181.47,6014.08,8728.61,9141.7,2815.65,8685.01,9881.81,8525.19,7652.77,7722.87,6924.34,unspecified product ,unspecified product ,GO:0005576, GO:0032367, GO:0032367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008182-RA,0.003701424,24,529,245,1011,951,1660,1363,386,1578,2579,494,373,15,325,230,408,405,204,394,unspecified product ,unspecified product ,GO:0005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001375-RA,0.030003949,24,108,113,131,56,74,61,45,104,75,59,61,39,116,189,155,162,112,125,serine protease inhibitor (serpin) 12 ,serine protease inhibitor (serpin) 12 ,GO:0005615, GO:0004867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009221-RA,0.00946299,24,1058,860,1327,292,336,497,345,837,694,1281,1383,11726,998,1494,1419,991,1587,1381,serine protease inhibitor (serpin) 5 ,serine protease inhibitor (serpin) 5 ,GO:0005615, GO:0004867, GO:0010951, GO:0005615, GO:0005615, GO:0004867, GO:0005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007693-RA,0.00946299,20,25,7,29,18,17,18,24,43,49,72,62,0,53,38,39,13,26,32,serine protease inhibitor (serpin) 7 ,serine protease inhibitor (serpin) 7 ,GO:0005615, GO:0005615, GO:0004867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP005246-RD,0.022880709,16,319.903,247.941,503.489,285.621,367.294,597.211,130.321,273.353,283.724,214.448,181.925,963.686,363.679,361.896,356.576,316.759,303.198,278.95,serine protease inhibitor (serpin) 10 ,serine protease inhibitor (serpin) 10 ,GO:0005615, GO:0005615, GO:0004867, GO:0005615, GO:0004867, GO:0004867, GO:0005615, GO:0004867, GO:0005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011435-RA,0.005153499,16,89,59,83,57,96,164,110,253,191,195,106,18,85,70,74,85,114,99,carboxypeptidase A ,carboxypeptidase A ,GO:0005615, GO:0006508, GO:0004181, GO:0004181, GO:0006508, GO:0005615, GO:0008270, GO:0006508, GO:0004181, GO:0004180, GO:0004181, GO:0008270, GO:0006508,,,,,,,,,,,,,,,,,,,,,,,,
AGAP010675-RA,0.030003949,20,1799,1796,1713,1192,1421,2064,1161,1911,1436,1240,869,5846,1326,1794,1771,1847,2106,1863,leucine-rich immune protein (Coil-less) ,leucine-rich immune protein (Coil-less) ,GO:0005615, GO:0031012, GO:0005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006644-RA,4.11E-04,24,461,464,436,409,399,467,405,751,755,440,296,72,299,317,413,256,296,284,unspecified product ,unspecified product ,GO:0005615, GO:0031012, GO:0005615, GO:0031012, GO:0016021, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006737-RA,0.01700415,24,12,16,34,46,37,57,34,39,53,23,28,9,27,22,27,21,12,16,unspecified product ,unspecified product ,GO:0005615, GO:0032504, GO:0032504, GO:0005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004214-RA,0.007036104,20,843,655,853,687,756,998,561,952,830,568,609,64,674,664,675,806,1014,715,unspecified product ,unspecified product ,GO:0005634, GO:0000785, GO:0003677, GO:0006355, GO:0003677, GO:0006355, GO:0000785, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP028149-RA,0.001269188,24,1880.19,1389.6,2342.48,2629.66,4173.01,3848.71,1614.54,3399.92,2799.21,1560.47,1721.68,236.61,1466.73,1647.26,1990.07,1744.84,1819.66,1838.16,unspecified product ,unspecified product ,GO:0005634, GO:0003677, GO:0006334, GO:0000786, GO:0003677, GO:0003677, GO:0006334, GO:0000786, GO:0005634, GO:0005634, GO:0005694,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011797-RA,0.030003949,8,1643,1186,1814,1695,1858,2218,1368,2156,2083,1985,1573,1922,1603,1818,2012,1716,1819,1641,unspecified product ,unspecified product ,GO:0005634, GO:0003713, GO:0031490, GO:0045893, GO:0003713, GO:0031490, GO:0045893, GO:0005634, GO:0003713, GO:1903508,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003462-RA,8.73E-04,24,1221,856,1129,737,688,1001,550,835,818,583,511,1757,817,738,760,943,1030,842,protein arginine N-methyltransferase 1 ,protein arginine N-methyltransferase 1 ,GO:0005634, GO:0005634, GO:0016274, GO:0035247, GO:0018216, GO:0008168, GO:0008168, GO:0016740, GO:0006479, GO:0032259,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012332-RA,6.03E-04,24,89,41,75,75,75,131,75,173,131,205,120,6,97,117,140,77,76,72,Differentially expressed in FDCP 6-like protein ,Differentially expressed in FDCP 6-like protein ,GO:0005634, GO:0005737, GO:0005634, GO:0005737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002194-RB,4.11E-04,24,485.6,607.915,836.787,726.501,1084.83,1191.03,648.083,1278.91,1047.48,643.361,491.279,195,349.341,409.865,515.858,414,365.324,376.805,1D-myo-inositol-triphosphate 3-kinase ,1D-myo-inositol-triphosphate 3-kinase ,GO:0005634, GO:0005737, GO:0016301, GO:0046854, GO:0000828, GO:0032958, GO:0032958, GO:0016301, GO:0016301, GO:0016301, GO:0016740, GO:0016310, GO:0032958, GO:0016301, GO:0032958, GO:0016301, GO:0016301, GO:0016740, GO:0016310, GO:0032958,,,,,,,,,,,,,,,,,
AGAP000378-RA,0.012864973,24,2631.3,2564.36,2366.39,1677.97,1977.18,1918.99,1262.45,2527.82,2008.33,1812.5,1310.88,1117.14,1950.62,2209.04,2679.19,2488.81,3004.17,2170.01,programmed cell death protein 4 ,programmed cell death protein 4 ,GO:0005634, GO:0005829, GO:0045892, GO:0005737, GO:0045892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003794-RA,0.012864973,24,302.665,271.322,353.507,163.84,174.85,319.377,245.776,345.716,272.503,300.779,214.287,179.56,397.825,356.56,431.05,446.591,395.577,435.605,"splicing factor, proline- and glutamine-rich ","splicing factor, proline- and glutamine-rich ",GO:0005634, GO:0006355, GO:0000976, GO:0003676, GO:0000398, GO:0006355, GO:0005634, GO:0003723, GO:0003676, GO:0003676, GO:0003723, GO:0003723, GO:0003676, GO:0003676, GO:0003723,,,,,,,,,,,,,,,,,,,,,,
AGAP002814-RA,0.003412755,12,8,11.6329,17,6,3,1,0,0,0,11,13,15,0,7.34087,5,0,0,0,unspecified product ,unspecified product ,GO:0005634, GO:0006355, GO:0003712, GO:0006355, GO:0005634, GO:0045892, GO:0005634, GO:0003712, GO:0006355, GO:0003712, GO:0006355, GO:0045892, GO:0005634, GO:0005634, GO:0006355, GO:0045892, GO:0003712, GO:0003712, GO:0006355, GO:0045892, GO:0005634,,,,,,,,,,,,,,,,
AGAP008762-RB,0.007036104,24,5953.21,4240.39,6441.59,3564.1,4188.18,3575.12,2747.51,5667.02,5096.99,4399.48,3834.83,125.034,6823.18,6868.92,7921.31,8238.12,5797.8,6568.32,unspecified product ,unspecified product ,GO:0005634, GO:0006355, GO:0006355, GO:0003700, GO:0003677, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0003700, GO:0006355, GO:0003700, GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,
AGAP028524-RA,0.01700415,24,110,102,104,57,99,102,64,89,93,159,145,147,177,156,217,153,136,117,unspecified product ,unspecified product ,GO:0005634, GO:0008270, GO:0003676, GO:0008270, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP011438-RA,0.001855286,24,3570,2899,3457,2816,2783,3483,2426,3547,3060,2376,1819,506,2029,2485,2293,2467,3034,2668,casein kinase II subunit beta ,casein kinase II subunit beta ,GO:0005634, GO:0019887, GO:0005737, GO:0005956, GO:0019887, GO:0005956, GO:0019887, GO:0045859, GO:0005956, GO:0005956, GO:0006468,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP001496-RA,0.001269188,24,489,519,841.743,599.793,551.707,705.728,631,1267,1122,1196.72,874.201,287,935,996.74,1218.75,576,741.698,680,unspecified product ,unspecified product ,GO:0005634, GO:0035097, GO:0000979, GO:0010468, GO:0031060, GO:0003676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007308-RA,0.001269188,24,165,138,250.257,134.207,196.293,226.272,207,438,421,409.285,272.799,858,257,301.26,348.25,254,275.302,216,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GVF6] ,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GVF6] ,GO:0005634, GO:0035097, GO:0000979, GO:0010468, GO:0031060, GO:0003676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002472-RA,0.007036104,24,561,604,693,355,441,489,295,533,449,405,248,12,682,659,740,633,723,681,DNA damage-binding protein 1 ,DNA damage-binding protein 1 ,GO:0005634, GO:0035861, GO:0043161, GO:0006281, GO:0003684, GO:0006289, GO:0043161, GO:0005634, GO:0031461, GO:0005634, GO:0003676, GO:0005515, GO:0003676, GO:0006281, GO:0005634,,,,,,,,,,,,,,,,,,,,,,
AGAP009160-RA,0.039930755,24,852,1064,888,784,920,1122,571,1183,997,620,462,1814,559,743,1016,473,943,682,"Arf-GAP, GTPase, ANK repeat and PH domain-containing protein 1/2/3 ","Arf-GAP, GTPase, ANK repeat and PH domain-containing protein 1/2/3 ",GO:0005634, GO:0046872, GO:0003924, GO:0005525, GO:0005096, GO:0005515, GO:0000166, GO:0003924, GO:0005096, GO:0005525, GO:0005525, GO:0046872, GO:0007165, GO:0043547, GO:0016020,,,,,,,,,,,,,,,,,,,,,,
AGAP012194-RB,0.012864973,20,754.918,649.094,767.131,341.207,335.881,569.952,293.96,633.745,532.553,445.13,274,89,473.449,621.454,760.935,547.281,881.927,608.357,"DnaJ (Hsp40) homolog, subfamily B ","DnaJ (Hsp40) homolog, subfamily B ",GO:0005634, GO:0051082, GO:0044183, GO:0061077, GO:0005737, GO:0051087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
